Sec_Production_Company,budget,Profit,popularity
Roger Birnbaum Productions,70000000.0,94000000.0,18.264635000000002
Rysher Entertainment,52500000.0,-25628273.5,13.168629
SLM Production Group,10000000.0,47500000.0,34.224204
SND,35000000.0,11216641.0,28.670477
Sahamongkol Film International,6000000.0,21165581.0,11.81832
Samuel Bronston Productions,17000000.0,-7000000.0,3.3210949999999997
Scott Free Productions,95000000.0,114227651.0,39.453016500000004
Scott Rudin Productions,46000000.0,61196498.0,19.643365
Screen Australia,30000000.0,-30000000.0,9.780588
"Screen Gems, Inc.",20000000.0,17597471.0,15.804814000000002
Seagal/Nasso Productions,45000000.0,-45000000.0,6.250282
Showbox Entertainment,0.0,15.0,9.572705000000001
Sidney Kimmel Entertainment,40000000.0,-3106279.0,19.438503
Signature Pictures,18000000.0,-7498062.0,16.520516
Sil-Metropole Organisation,7500000.0,-7183729.0,5.7595665
Silver Pictures,62333333.333333336,96871965.83333333,36.673577333333334
Silver Screen Partners IV,14000000.0,20793160.0,13.13724
Silver Wings Films,12000000.0,-12000000.0,3.94487
Sir Lew Grade,0.0,0.0,3.829937
Skydance Productions,161666666.66666666,453136255.0,90.19600833333334
Sobini Films,0.0,316472.0,10.924273
Solofilms,5000000.0,19804129.0,22.9951
Sony Pictures Entertainment,62500000.0,51408624.0,17.2214575
Sortie 22,8000000.0,4671300.0,5.069095
Sound Venture Productions,0.0,0.0,2.6598040000000003
Spacegate Productions,3000000.0,4282851.0,5.003615
Spyglass Entertainment,77000000.0,139669419.0,50.24195600000001
Stage 6 Films,8000000.0,2629321.0,13.517017000000001
Star Partners II Ltd.,15000000.0,15050028.0,6.216203
Stars Road Entertainment,40000000.0,10625676.0,21.7816085
Starz Animation,30000000.0,18428063.0,55.806402
Storm King Productions,28000000.0,-13989168.0,13.145204999999999
Strike Entertainment,80000000.0,128309780.5,63.4946255
Stuber Productions,32000000.0,-13590109.0,25.799697000000002
Studio Babelsberg,120000000.0,-26054234.0,17.060695000000003
Studio Canal,7175265.5,-3046942.0,17.502298
StudioCanal,43000000.0,25918621.5,21.6935475
Suftley,20000000.0,-12436272.0,17.842246
Summit Entertainment,77500000.0,176780376.0,29.574347500000002
Sweetpea Entertainment,0.0,0.0,4.901936
Süddeutscher Rundfunk,14000000.0,71000000.0,26.967494
TAFT Entertainment Pictures,26000000.0,-1438947.5,29.963946
TBN Films,0.0,0.0,0.809588
TF1 Films Production,29000000.0,19875757.666666668,51.00425766666666
TF1 International,0.0,0.0,2.171288
Taewon Entertainment,0.0,0.0,4.127155
Tag Entertainment,0.0,3102550.0,3.71305
Tea Shop & Film Company,0.0,0.0,5.0005
Telepool,25000000.0,-25000000.0,6.091033
Temple Hill Entertainment,61000000.0,250256926.0,113.161483
The Caddo Company,3950000.0,4050000.0,8.484123
The Criterion Collection,44000000.0,-40515669.0,5.3801239999999995
The Halcyon Company,200000000.0,171353001.0,71.862892
The Kennedy/Marshall Company,72500000.0,293162177.5,49.297716
The Ladd Company,72000000.0,138000000.0,60.722162
Thinkfilm,8000000.0,-7856549.0,3.9424639999999997
Threshold Entertainment,24000000.0,62786390.5,14.193642
Thunder Road Pictures,30000000.0,54025816.0,55.424027
Toho Company,2000000.0,-1728159.0,39.756747999999995
Toho Pictures,15000000.0,62000000.0,9.476999000000001
Toho-Towa,51666666.666666664,53611889.333333336,28.621589333333333
Touchstone Pictures,41636363.63636363,73648570.45454545,19.06785727272727
TriStar Pictures,57600000.0,34553749.4,24.756439
Trilogy Entertainment Group,25000000.0,-20935505.0,8.186936
Troublemaker Studios,37500000.0,115834000.0,43.773411
True Grit Productions,17000000.0,-7500000.0,19.311572
Twentieth Century Fox Film Corporation,79571428.57142857,326340522.85714287,49.286236571428574
UK Film Council,2000000.0,3048693.0,14.617944
Unanimous Pictures,25000000.0,-23602716.0,15.333575
United Artists,17500000.0,14107936.0,5.271254000000001
United Artists Corporation,0.0,0.0,28.98027
Universal Cartoon Studios,25000000.0,55936232.0,12.739721000000001
Universal Pictures,61666666.666666664,66980223.583333336,27.494017749999994
Universe Entertainment,0.0,21388380.0,9.565799
VIP 3 Medienfonds,33000000.0,21700105.0,35.099610999999996
Valkyrie Films,4200000.0,34176497.0,11.743085
Vallelonga Productions,18000000.0,-18000000.0,10.144222000000001
Vertigo Films,0.0,0.0,5.023091
Village Roadshow Pictures,101333333.33333333,185413511.66666666,62.398992666666665
Virtual Studios,30000000.0,-15288207.0,35.53352
Vision International,0.0,0.0,3.6230019999999996
WCG Entertainment Productions,50000000.0,100270147.0,22.769108
Walden Media,77500000.0,9440477.5,37.867098999999996
Walt Disney Pictures,133250000.0,8819550.0,23.045339
Warner Bros.,74143341.31428571,90010527.77142857,32.195542857142854
Warner Bros. Animation,3500000.0,-3500000.0,25.891466
Wayfare Entertainment,30000000.0,78609310.0,20.063164999999998
